Bregana Pisarovinska;Pisarovina;Zagrebačka županija
Bregana;Samobor;Zagrebačka županija
Breganica;Samobor;Zagrebačka županija
Bregi Kostelski;Pregrada;Krapinsko-zagorska županija
Bregi Radobojski;Radoboj;Krapinsko-zagorska županija
Bregi Zabočki;Zabok;Krapinsko-zagorska županija
Bregi;Matulji;Primorsko-goranska županija
Bregovljana;Pušća;Zagrebačka županija
Brekinska;Lipik;Požeško-slavonska županija
Brela;Brela;Splitsko-dalmatinska županija
Bresnica;Pleternica;Požeško-slavonska županija
Brest pod Učkom;Lupoglav;Istarska županija
Brest Pokupski;Petrinja;Sisačko-moslavačka županija
Brest;Lanišće;Istarska županija
Brestača;Novska;Sisačko-moslavačka županija
Brestik;Glina;Sisačko-moslavačka županija
Brestova Draga;Mrkopalj;Primorsko-goranska županija
Brestovac;Brestovac;Požeško-slavonska županija
Brestovac Daruvarski;Končanica;Bjelovarsko-bilogorska županija
Brestovačka Brda;Končanica;Bjelovarsko-bilogorska županija
Brestovec Orehovički;Bedekovčina;Krapinsko-zagorska županija
Brešca;Matulji;Primorsko-goranska županija
Breštane;Udbina;Ličko-senjska županija
Breštanovci;Crnac;Virovitičko-podravska županija
Breza;Bjelovar;Bjelovarsko-bilogorska županija
Breza;Klana;Primorsko-goranska županija
Brezakovec;Zagorska Sela;Krapinsko-zagorska županija
Brezani;Rakovec;Zagrebačka županija
Brezari;Jastrebarsko;Zagrebačka županija
Brezarić;Krašić;Zagrebačka županija
Breze;Novi Vinodolski;Primorsko-goranska županija
Brezik;Gospić;Ličko-senjska županija
Brezik;Lukač;Virovitičko-podravska županija
Brezik;Nova Bukovica;Virovitičko-podravska županija
Brezik Našički;Našice;Osječko-baranjska županija
Brezine;Farkaševac;Zagrebačka županija
Brezine;Lipik;Požeško-slavonska županija
Brezje;Dubrava;Zagrebačka županija
Brezje;Gornja Stubica;Krapinsko-zagorska županija
Brezje;Sveta Nedelja;Zagrebačka županija
Brezje;Sveti Juraj na Bregu;Međimurska županija
Brezje Dobransko;Skrad;Primorsko-goranska županija
Brezje Dravsko;Cestica;Varaždinska županija
Brezje Miholečko;Sveti Petar Orehovec;Koprivničko-križevačka županija
Brezje Vivodinsko;Ozalj;Karlovačka županija
Breznica;Breznica;Varaždinska županija
Breznica Đakovačka;Levanjska Varoš;Osječko-baranjska županija
Breznica Našička;Koška;Osječko-baranjska županija
Breznički Hum;Breznički Hum;Varaždinska županija
Breznik Plešivički;Jastrebarsko;Zagrebačka županija
Breznik Žakanjski;Žakanje;Karlovačka županija
Breznik;Ozalj;Karlovačka županija
Brezno Gora;Hum na Sutli;Krapinsko-zagorska županija
Brezova Glava;Karlovac;Karlovačka županija
Brezova Gora;Bednja;Varaždinska županija
Brezova;Sveti Križ Začretje;Krapinsko-zagorska županija
Brezovac;Bjelovar;Bjelovarsko-bilogorska županija
Brezovac;Rakovica;Karlovačka županija
Brezovac Dobroselski;Donji Lapac;Ličko-senjska županija
Brezovac Subocki;Novska;Sisačko-moslavačka županija
Brezovac Žumberački;Samobor;Zagrebačka županija
Brezovec Zelinski;Sveti Ivan Zelina;Zagrebačka županija
Brezovec;Sveti Martin na Muri;Međimurska županija
Brezovica;Gradina;Virovitičko-podravska županija
Brezovica;Marijanci;Osječko-baranjska županija
Brezovica Petrovska;Petrovsko;Krapinsko-zagorska županija
Brezovica;Zagreb;Grad Zagreb
Brezovica Žumberačka;Ozalj;Karlovačka županija
Brezovljani Vojlovički;Čačinci;Virovitičko-podravska županija
Brezovljani;Sveti Ivan Žabno;Koprivničko-križevačka županija
Brezovo Polje;Glina;Sisačko-moslavačka županija
Brežane Lekeničke[1];Lekenik;Sisačko-moslavačka županija
Brežani;Karlovac;Karlovačka županija
Brežani;Sveti Petar Orehovec;Koprivničko-križevačka županija
Brgod;Raša;Istarska županija
Brgud;Benkovac;Zadarska županija
Brgudac;Lanišće;Istarska županija
Brgujac;Vis;Splitsko-dalmatinska županija
Brgulje;Zadar;Zadarska županija
Bribir;Vinodolska općina;Primorsko-goranska županija
Bribir;Skradin;Šibensko-kninska županija
Brič;Buje;Istarska županija
Bričanci;Svetvinčenat;Istarska županija
Brig;Vižinada;Istarska županija
Brihovo;Žakanje;Karlovačka županija
Brijest;Osijek;Osječko-baranjska županija
Brijesta;Ston;Dubrovačko-neretvanska županija
Briješće;Osijek;Osječko-baranjska županija
Brinjani;Kutina;Sisačko-moslavačka županija
Brinje;Brinje;Ličko-senjska županija
Brinjeva Draga;Čabar;Primorsko-goranska županija
Brist;Gradac;Splitsko-dalmatinska županija
Bristivica;Seget;Splitsko-dalmatinska županija
Briševo;Poličnik;Zadarska županija
Brištane;Drniš;Šibensko-kninska županija
Brkač;Motovun;Istarska županija
Brkiševina;Lekenik;Sisačko-moslavačka županija
Brlekovo;Konjščina;Krapinsko-zagorska županija
Brlenić;Krašić;Zagrebačka županija
Brlog Ozaljski;Kamanje;Karlovačka županija
Brlog;Otočac;Ličko-senjska županija
Brloška Dubrava;Otočac;Ličko-senjska županija
Brnaze;Sinj;Splitsko-dalmatinska županija
Brnčići;Kastav;Primorsko-goranska županija
Brnelići;Jelenje;Primorsko-goranska županija
Brnobići;Buzet;Istarska županija
Brnobići;Kaštelir-Labinci;Istarska županija
Brnjavac;Gvozd;Sisačko-moslavačka županija
Brnjeuška;Glina;Sisačko-moslavačka županija
Brnjica;Šibenik;Šibensko-kninska županija
Broce;Ston;Dubrovačko-neretvanska županija
Bročice;Novska;Sisačko-moslavačka županija
Broćanac;Rakovica;Karlovačka županija
Brod Moravice;Brod Moravice;Primorsko-goranska županija
Brod na Kupi;Delnice;Primorsko-goranska županija
Brodarovec;Maruševec;Varaždinska županija
Brodić;Ferdinandovac;Koprivničko-križevačka županija
Brodski Drenovac;Pleternica;Požeško-slavonska županija
Brodski Stupnik;Brodski Stupnik;Brodsko-posavska županija
Brodski Varoš;Slavonski Brod;Brodsko-posavska županija
Brodski Zdenci;Podcrkavlje;Brodsko-posavska županija
Brođanci;Bizovac;Osječko-baranjska županija
Brođani;Karlovac;Karlovačka županija
Broskvari;Višnjan;Istarska županija
Brotnice;Konavle;Dubrovačko-neretvanska županija
Brotnja;Gračac;Zadarska županija
Brovinje;Raša;Istarska županija
Brseč;Mošćenička Draga;Primorsko-goranska županija
Brsečine;Dubrovnik;Dubrovačko-neretvanska županija
Bršadin;Trpinja;Vukovarsko-srijemska županija
Brštanovo;Klis;Splitsko-dalmatinska županija
